,vegetables,fruits,legumes_and_tubers,beverages_and_drinks,fish_and_seafood,oils_and_fats,condiments_and_spices,grains_and_cereals,rice_products,dairy_products,meat_products,pastries,breads,eggs
1017,,,,,,,,,,,VASO DE RES,,,
1018,,,,,,,EUCALIPTO EN RAMAS,,,,,,,
1019,,,,,,,,,,,CARNE DE RES CORTE PICAÑA,,,
1020,,,,,,,,,,,CARNE DE SACHAVACA,,,
1021,,,,,PESCADO LORNA,,,,,,,,,
1022,,,,,,,,,,,CHAQUEPA PARA PERRO,,,
1023,,,FRIJOL BLANCO PRECICIDO,,,,,,,,,,,
1024,BROASTER CON PAPAS FRITAS,,,,,,,,,,,,,
1025,,,FRIJOL PALLAR PRECOCIDA,,,,,,,,,,,
1026,,,,,,,,,,,CARNE DE PAVA,,,
1027,,,,,PESCADO PEJEBLANCO,,,,,,,,,
1028,,,,,,,CULEN BLANCO EN RAMAS PAR,,,,,,,
1029,,,,,,,,,,,ZAPALLO MACRE PARA PERRO,,,
1030,,,,,,,,,,,,,PAN CHABATA,
1031,ARVERJA VERDE,,,,,,,,,,,,,
1032,,,,,,,,,,,CHAUFA CON POLLO A LA BRA,,,
1033,,,,,,,AJI ROCOTO MOLIDO A GRANE,,,,,,,
1034,,,,,,,,,,,,,PAN COLIZA,
1035,,,,,,,,,,,MAIZ CHANCADO PARA POLLO,,,
1036,,,,AGUA OXONIZDA,,,,,,,,,,
1037,,,,,,,,,,,POLLOS LA BRASA,,,
1038,,,,,,,,HARINA DE MAIZ API,,,,,,
1039,,,,,,,HUACATAY MOLIDO A GRANEL,,,,,,,
1040,,,,,,,,,,,CARNE DE LLAMA,,,
1041,,,,,PESCADO CURUHUARA,,,,,,,,,
1042,,,,,,,,CHICHA DE MAIZ AMARILLO F,,,,,,
1043,,,,,,,,,,,CARNE DE LOMO DE RES,,,
1044,,,,,,,,MAIZ SERRANO TOSTADO,,,,,,
1045,,,,,PESCADO LIFES,,,,,,,,,
1046,,,,,,,,,,,ARROZCILLO PARA PERRO,,,
1047,,,,,,,,TOSTADO MAIZ CHULPE,,,,,,
1048,,,,,,,,,,,CUELLO DE POLLO BROASTER,,,
1049,,,,,,,,,,,CUELLO DE POLLO PREPARADO,,,
1050,,,,,,,,,,,AJI DE POLLO CON ARROZ,,,
1051,,,,,,,,,,,,,PAN CORACOL,
1052,,,,,,,,HOJUELAS FRITAS DE MAIZ,,,,,,
1053,,,,,,,EUCALIPTO  EN RAMA PARA I,,,,,,,
1054,,,,,,,,MAIZ MOLIDO CHUFLA,,,,,,
1055,,,,,,,,,,,Carne de Res Corte Único,,,
1056,PAPA CONDEMAYTA,,,,,,,,,,,,,
1057,,,,,,,,,,,,,PAN PITA,
1058,,,,,,,,,,,,,PAN REGALO,
1059,,,,,,,,,,,,,PAN INTEGRAL CON SEMILLAS,
1060,,,,,,,,MAIZ PILLPE,,,,,,
1061,,,FRIJOL MANTECA SECO,,,,,,,,,,,
1062,,,,,,,,HARINA DE QUINUA ENVASADA,,,,,,
1063,,,,,,,ESPINACA MOLIDO,,,,,,,
1064,,,,,PESCADO LEGUIA,,,,,,,,,
1065,,,,,PESCADO CORVINILLO,,,,,,,,,
1066,,,,,,,,,,,,,PAN CARTTERITA,
1067,SALCHIPAPAS,,,,,,,,,,,,,
1068,,,,,PESCADO CABRILLA,,,,,,,,,
1069,SALSA DE PAPA A LA HUANCA,,,,,,,,,,,,,
1070,,,FRIJOL NEGRE,,,,,,,,,,,
1071,,,,,,,,,,,FREJOL DE PALO FRESCO,,,
1072,,,,,,,,CHICHA DE MAIZ SIN FERMEN,,,,,,
1073,,,,,,,,,,,TRIPAS DE RES,,,
1074,,,,,,,SALVIA EN RAMA  PARA INFU,,,,,,,
1075,,,,,,,,,,,CHESTRESS,,,
1076,,,,,,,,,,,LECHE FRESCA LIGHT,,,
1077,,,,,,,,,,,,,AJÍ PANCA MOLIDA ENVASADA,
1078,,,,,,,,,,,COMIDA DE PERRO  ENLATADO,,,
1079,,,,,,,,,,,REFRESCO DE GELATINA,,,
1080,,,,,PESCADO BASA,,,,,,,,,
1081,,,,,,,,,,,CABEZA DE CARNERO,,,
1082,,,,,,,AJI MIRASOL SECO MOLIDO,,,,,,,
1083,,,,,,,,,,,CABEZA DE POLLO,,,
1084,,,,,,,,,,,PATÉ DE HÍGADO POLLO,,,
1085,PAPA MARIHUA,,,,,,,,,,,,,
1086,,,,,PESCADO BATEANSECA SALADA,,,,,,,,,
1087,,,,AGUA DE PIÑA,,,,,,,,,,
1088,,,,,,,,HARINA DE MAÍZ MORADO,,,,,,
1089,,,,,,,,,,,GRATED PARA PERRO,,,
1090,,,,,,,,,,,CAUSA DE POLLO,,,
1091,,,,,,,,HARINA SIN PREPARAR  A GR,,,,,,
1092,,,,,,,,,,,CAU CAU DE POLLO,,,
1093,,,,,,,,HARINA CINCO SEMILLAS,,,,,,
1094,,,,,,,AJI ESCABECHE MOLIDO A GR,,,,,,,
1095,,,FRIJOLES PREPARADOS,,,,,,,,,,,
1096,,,,,,,,HARINA DE PLÁTANO ENVASAD,,,,,,
1097,,,,,,,,,,,SÁNDWICH DE CARNE,,,
1098,,,,,,,,,,,HUESO PARA PERRO,,,
1099,,,,,PESCADO ARAHUANA,,,,,,,,,
1100,,,,,,,,HARINA BLANCA SIN PREPARA,,,,,,
1101,,,,,,,,MAIZ PRECOCIDO,,,,,,
1102,,,,,,,HIERBA CANCER EN RAMA PAR,,,,,,,
1103,,,,,,,,,,,CAMOTE PAR PERRO,,,
1104,,,,,,,,,,,,,PAN DE AMBURGUESA,
1105,,,,,,,CHINCHO MOLIDO A GRANEL,,,,,,,
1106,,,,,PESCADO CAHUARA,,,,,,,,,
1107,,,,,,,,,,,MENUDENCIAS PARA PERRO,,,
1108,,,,,,,,,,,,,PAN HUEVO,
1109,,,,,,,,,,,CHAUFA CON POLLO,,,
1110,,,,,,,,,,,HUESOS DE RES,,,
1111,,,,,,,HIERBA COMBINACA EN RAMA,,,,,,,
1112,,,FRIJOL ÑUÑA PRECOCIDA,,,,,,,,,,,
1113,,,,,,,,MAIZ REFINADO BALANCEADO,,,,,,
1114,,,,,,,,,,,,,PAN DE MOLDE CON CHILLA,
1115,,,,,,,CULANTRO  ESPINACA MOLIDO,,,,,,,
1116,PAPA EMILLA,,,,,,,,,,,,,
1117,,,,,,,,,,,MENUDENCIA DE POLLO Y CAR,,,
1118,,,FRIJOL DE PALO SECO,,,,,,,,,,,
1119,,,,,,,,MEZCLA DE HARINAS TOSTADO,,,,,,
1120,,,,,PESCADO RAYA SALADO,,,,,,,,,
1121,,,,,,,,,,,,,PAN DE SICUANI,
1122,,,,,PESCADO PARA GATO,,,,,,,,,
1123,,,,,,,HUACATAY MOLIDO,,,,,,,
1124,,,,,,,PREPARADO DE AJI PANCA MO,,,,,,,
1125,,,,,,,,,,,LENGUA DE CARNERO,,,
1126,,,,,,,,,,,PESCADO TILAPIA FRESCO,,,
1127,,,,,,,,,,,CABEZA POLLO,,,
1128,,,,,,,AJI MIRASOL MOLIDO A GRAN,,,,,,,
1129,,,,,,,ESPINACA EN RAMAS,,,,,,,
1130,,,,,,,,HARINA DE KIWICHA A GRANE,,,,,,
1131,,,,,,,,,,,,,PAN DE QUINUA,
1132,,,,,,,,,,,ENLATADO DE PATE DE POLLO,,,
1133,,,,,,,,,,,CARNE CABEZA DE LOMO,,,
1134,,,FRIJOL BOCANEGRA SECO,,,,,,,,,,,
1135,,,,,,,,MAIZ DE COLOR (CANCHA),,,,,,
1136,,,,,PESCADO SUCO,,,,,,,,,
1137,PAPA HUANCAY,,,,,,,,,,,,,
1138,,,,,,,,,,,PATÉ DE CARNE PARA PERRO,,,
1139,,,,,,,,SIETE HARINAS A HRANEL,,,,,,
1140,,,,,,,ESPINACA CULANTRO MOLIDO,,,,,,,
1141,,,,,,,AJÍ AMARILLO MOLIDO ESPEC,,,,,,,
1142,,,,,,,MANI TOSTADO MOLIDO GRANE,,,,,,,
1143,,,,,PESCADO TUNCHI,,,,,,,,,
1144,,,,AGUA MINERAL CON GAS,,,,,,,,,,
1145,,,,,PESCADO MAPARATE SECO SAL,,,,,,,,,
1146,,,,,PESCADO PLUMA,,,,,,,,,
1147,,,,,,,CEDRON EN RAMA 0ARA INFUS,,,,,,,
1148,,,,,PESCADO JUREL,,,,,,,,,
1149,,,,SALMON EN SAL Y AGUA,,,,,,,,,,
1150,,,,,,,CULANTRO MOLIDO A GRANEL,,,,,,,
1151,,,,,,,,,,,SANGRE DE RES,,,
1152,,,,,,,,,,,,,PAN HALLULLA DE CHILE,
1153,,,,AGUA CIELO,,,,,,,,,,
1154,,,,,,,,,,,,,PAN MISTISHONGO,
1155,,,FRIJOL BLANCO  SECO,,,,,,,,,,,
1156,,,,,,,,MAIZ CABANITA,,,,,,
1157,,,,,,,,,,,CARNE DE RES LOMITO,,,
1158,,,,,,,,,,,HUESO DE CARNERO,,,
1159,,,,,,,,,,,,,PANES VARIÓS,
1160,,,,,,,,,,,,,PANCA CHALA,
1161,,,,,,,,MAIZ CABANA,,,,,,
1162,,,,,,,,,,,ASADO DE RES,,,
1163,,,,,,,AJI COLORADO ESPECIAL A G,,,,,,,
1164,FRIJOL ASHPA VERDE,,,,,,,,,,,,,
1165,,,,,,,CAFE TOSTADO MOLIDO A GRA,,,,,,,
1166,PAPA MOLINERA,,,,,,,,,,,,,
1167,,,,,PESCADO CORCOVADO,,,,,,,,,
1168,,,,,,,,,,,CARNE DE RES BISTEC,,,
1169,,,,,,,ORÉGANO MOLIDO ENVASADO,,,,,,,
1170,,,,,,,,,,,,,PAN CON CHORIZO,
1171,FRIJOL VERDE DESGRANADO,,,,,,,,,,,,,
1172,,,,,,,COMININPIMIENTA MOLIDO A,,,,,,,
1173,PAPAS LIGTH,,,,,,,,,,,,,
1174,,,,,,,,,,,,,PAN INTEGRAL DE MOLDE ENV,
1175,,,,,,,,MAIZ CHECCHE,,,,,,
1176,,,,,,,HIERBALUISA EN RAMA PARA,,,,,,,
1177,,,,,,,,,,,,,PAN TORNILLO,
1178,,,,,,,AJÍ PIMIENTO MOLIDO A GRA,,,,,,,
1179,,,,,PESCADO CHIRI,,,,,,,,,
1180,,,,,,,AJI DE COLOR EN POLVO A G,,,,,,,
1181,,,,,,,SOLTANA EN RAMA PARA INFU,,,,,,,
1182,TE VERDE FILTRANTE,,,,,,,,,,,,,
1183,,,,,,,CREMA DE AJI TARI,,,,,,,
1184,,,FRIJOL UCAYALINO COCINADO,,,,,,,,,,,
1185,,,FRIJOL SANGRE DE TORO,,,,,,,,,,,
1186,,,,,,,,,,,MAIZ PARTIDO PARA POLLO,,,
1187,,,,,,,,,,,ÑILEN PARA PERRO,,,
1188,,,,,,,ANCCORIPA EN RAMA PARA IN,,,,,,,
1189,,,,,,,,,,,PESCADO PAMPANITO FRESCO,,,
1190,,,,,,,,,,,CONCENTRADO PARA POLLO,,,
1191,,,FRIJOL MANTEQUILLA,,,,,,,,,,,
1192,,,,,,,,,,,REFRESCO DE GELATINA PREP,,,
1193,,,,,,,,,,,CARNE DE CAPRINO,,,
1194,PAPA PANCHAN,,,,,,,,,,,,,
1195,,,,,,,,,,,,,PAN OROPESA,
1196,,,,,PESCADO FRITO,,,,,,,,,
1197,,,,,,,,MEZCLA DE HARINA DE CACAO,,,,,,
1198,,,,,CEVICHE DE PESCADO,,,,,,,,,
1199,,,FRIJOL COLOR,,,,,,,,,,,
1200,,,,AGUA DE MARACUYA,,,,,,,,,,
1201,,,,,,,,,,,CARNE DE CHULETA,,,
1202,,,,,,,CHINCHO MOLIDO ENVASADO,,,,,,,
1203,,,,,,,,,,,CARNE DE MAJAS AHUMADA,,,
1204,,,,,,,HIERBA LUISA5 EN RAMA PAR,,,,,,,
1205,,,,,,,,MAIZ CANCHA PREPARADA,,,,,,
1206,,,,,,,,,,,MOLLEGITA DE POLLO,,,
1207,,,,,,,,,,,CABEZA Y SEBO DE POLLO PA,,,
1208,,,,,,,CULANTRO MOLIDO,,,,,,,
1209,,,,,,,,,,,CECINA DE RES,,,
1210,,,,,,,,,,,PARRILLADA DE POLLO,,,
1211,,,,,,,,,,,YOGURT CON FRESA EN VASO,,,
1212,,,,,,,ALTEA EN RAMA PARA INFUSI,,,,,,,
1213,,,CHOCLO CON FRIJOL COCINAD,,,,,,,,,,,
1214,HABA VERDE,,,,,,,,,,,,,
1215,,,,,,,,,,,CARNE DE RES OSOBUCO,,,
1216,,,,,,,,,,,MOLLEGAS DE POLLO,,,
1217,,,,,,,,HARINA DE FRUTA SECA,,,,,,
1218,,,,,PESCADO PALOMETA SALADO,,,,,,,,,
1219,,,,,,,OREGANO MOLIDO EVASADO,,,,,,,
1220,,,,,PESCADO PIRO SALADO,,,,,,,,,
1221,,,,,,,,,,,PATA POLLO,,,
1222,,,,,,,COMINO PIMENTA MOLIDO ENV,,,,,,,
1223,,,,,PESCADO DE SALMON,,,,,,,,,
1224,,,,,,,,,,,REFRESCO DE MANGO,,,
1225,,,,,,,,,,,GUARDRAPA PARA PERRO,,,
1226,,,,,,,,,,,FIDEO DE SOPA PARA PERRO,,,
1227,,,,,,,,MAIZ CABAÑA,,,,,,
1228,,,,,,,,,,,CARNE EN CONSERVA PARA PE,,,
1229,,,,,PESCADO ROBALO,,,,,,,,,
1230,,,,,,,,,,,,,HIERVA PANCA PARA CUY,
1231,,,,,,,,HARINA DE MAIZ Y MANI,,,,,,
1232,,,,,,,,,,,CEBO PARA PERRO,,,
1233,,,,,,,,,,,CAZUELA DE POLLO,,,
1234,PAPA FRITA ENVASADA,,,,,,,,,,,,,
1235,,,,AGUA DE CEBADA PREPARADA,,,,,,,,,,
1236,,,,,,,,,,,RIÑON PARA PERRO,,,
1237,HABA VERDE DESGRANADO,,,,,,,,,,,,,
1238,,,,,,,,,,,,,PAN DE CALABAZA,
1239,,,,,,,,,,,TRIGO RESBALADO MOLIDO,,,
1240,,,,,,,,,,,CARNE HUACHALOMO,,,
1241,,,,,PESCADO BOQUICHICO SECO,,,,,,,,,
1242,,,,,,,,,,,PATÉ DE POLLO,,,
1243,,,,,,,AJI MOLIDO ESPECIAL,,,,,,,
1244,,,,,,,,,,,POLLO BROSTER CON ARROZ C,,,
1245,,,,,,,,MAIZ CHANCA,,,,,,
1246,,,,,,,KION MOLIDO,,,,,,,
1247,,,,,,,,,,,,,PAN CHINITO,
1248,,,,,,,,MAIZ CABAÑITO,,,,,,
1249,PAPA CON HUEVO,,,,,,,,,,,,,
1250,,,,AGUA DE NESA,,,,,,,,,,
1251,,,,,PESCADO CABRILLON,,,,,,,,,
1252,,,,,,,,,,,SALTADO DE CARNE CON ARRO,,,
1253,FRIJOL DE PALO VERDE DESG,,,,,,,,,,,,,
1254,,,,,PESCADO SALMON,,,,,,,,,
1255,,,,,,,,ACEITE DE MAIZ ENVASADO,,,,,,
1256,,,,,PESCADO  BUJURQUI,,,,,,,,,
1257,,,,,,,,,,,SNACK PARA PERRO,,,
1258,,,,,,,CULANDRO MOLIDO,,,,,,,
1259,,,,AGUA OZONISADA,,,,,,,,,,
1260,,,,,,,,MAIZ PARDO,,,,,,
1261,PAPA UNICA,,,,,,,,,,,,,
1262,ALVERJA PELADA VERDE CON,,,,,,,,,,,,,
1263,,,,,,,,ROSCAS DE HARINA,,,,,,
1264,,,,,,,,,,,CHICHA DE JORA  FRESCA,,,
1265,,,,AGUA DE MUÑA,,,,,,,,,,
1266,HABA VERDE EN CASCAR,,,,,,,,,,,,,
1267,,,,,,,,HARINA DE HABA GRANEL,,,,,,
1268,,,,,,,,MAIZ MOTE SANCOCHADO,,,,,,
1269,,,,,,,,,,,,,PAN ROSQUITA,
1270,,,,,,,,HARINA DE TRIGO TOSTADO A,,,,,,
1271,,,,,PESCADO FASACO SALADO,,,,,,,,,
1272,,,,,,,,,,,,,PAN ACEITUNA,
1273,FRIJOL CHILENO VERDE CON,,,,,,,,,,,,,
1274,,,,,,,,,,,,,PAN DULCE,
1275,ARVEJA VERDE SIN CASCARA,,,,,,,,,,,,,
1276,,,,,PESCADO MOJARITA,,,,,,,,,
1277,,,,,,,,,,,POLLO A LA PARRILLA,,,
1278,PAPA ÚNICA,,,,,,,,,,,,,
1279,,,,,,,,MAIZ INFLADO,,,,,,
1280,,,,,,,,,,,PATA DE CARNERO PRECOCIDO,,,
1281,,,,,,,,,,,,,PAN DE CARACOL,
1282,,,,,,,,HARINA SIN PREPARAR. A GR,,,,,,
1283,,,,,,,CHOCLO MOLIDO PARA ESPESA,,,,,,,
1284,,,,,PESCADO CARACHE,,,,,,,,,
1285,,,,,,,,,,,,,PAN DE ANIS,
1286,,,,,,,OREGANO SEVO MOLIDO ENVAS,,,,,,,
1287,,,,,,,,,,,FIDEOS PARA PERRO,,,
1288,,,,,,,SACHACULANDRO EN RAMA PAR,,,,,,,
1289,PAPA INDIO,,,,,,,,,,,,,
1290,,,,,,,HINIJO EN RAMA PARA INFUS,,,,,,,
1291,,,,,,,AJÍ AMARILLO MOLIDO A GRA,,,,,,,
1292,,,,,,,,MAIZ MOROCHO,,,,,,
1293,,,,,,,,HARINA DE TRIGO TOSTADO 8,,,,,,
1294,SACHA PAPA,,,,,,,,,,,,,
1295,,,,,,,CREMA DE AJI CRIOLLO ENVA,,,,,,,
1296,,,,,,,,,,,,,PAN PETI PAN,
1297,,,,,,,CREMA DE AJI ENVASADA,,,,,,,
1298,,,,,,,,"PAN DE MAIZ ,ORADO",,,,,,
1299,,,,,HUEVERA DE PESCADO PERICO,,,,,,,,,
1300,,,,,,,,HARINA DE AVENA INTEGRAL,,,,,,
1301,,,,,PESCADO PALOMETA SECO,,,,,,,,,
1302,TALLARIN VERDE CON APANAD,,,,,,,,,,,,,
1303,,,,,,,,,,,SEGUNDO DE MANI CON POLLO,,,
1304,VAINITA VERDE ZANAHORIA Y,,,,,,,,,,,,,
1305,,,,,,,,MAIZ PARTIDO,,,,,,
1306,,,,,,,FLOR DE JAMAICA EN RAMA P,,,,,,,
1307,,,,,,,CURCUMA MOLIDO SUELTO,,,,,,,
1308,PAPA PARA MASCOTAS,,,,,,,,,,,,,
1309,HABA VERDE CON CÁSCARA,,,,,,,,,,,,,
1310,,,,,,,,MAIZ PARA CRECIMIENTO PAR,,,,,,
1311,,,,,,,,,,,,,PAN HUARO,
1312,,,,,,,,HOJUELA DE MAIZ PICANTE E,,,,,,
1313,HABA VERDE CON CASCAR,,,,,,,,,,,,,
1314,,,,,,,SANO SANO EN RAMA PARA IN,,,,,,,
1315,,,,,,,AJI PANCA ESPECIAL MOLIDO,,,,,,,
1316,,,,,,,,HARINA DE HABAS TOSTADA E,,,,,,
1317,GARBANZO VERDE,,,,,,,,,,,,,
1318,,,,,,,CARAMANDUCA,,,,,,,
1319,,,,,,,,,,,,,PAN CON CHICHARRON,
1320,,,,,,,,,,,DESPERDICIO DE CARNE,,,
1321,,,,,,,,,,,CESO DE RES,,,
1322,,,,,,,,,,,,,PAN LULO,
1323,,,,,,,HOJA DE HIGO EN RAMA PARA,,,,,,,
1324,,,,,,,OREGANO BLANCO EN RAMA PA,,,,,,,
1325,,,,,,,,,,,,,PANISARA EN RAMA PARA INF,
1326,,,,,,,,MAIZ MOLIDO PARA CHAMPUS,,,,,,
1327,,,,,,,,,,,,,PAN BICO,
1328,,,,,,,,HARINA DE TRIGO PARA MASC,,,,,,
1329,,,,,,,,,,,,,PANIZARA RAMA PARA INFUSI,
1330,,,,,,,,,,,HIGO FRESCO,,,
1331,,,,,,,,,,,R3FRESCO PREPARADO,,,
1332,,,,,,,,HARINA DE HABA A GRANEL,,,,,,
1333,,,,,,,AJÍ COMBINADO MOLIDO,,,,,,,
1334,,,,,,,AJI PANKA MOLIDO ENVASADO,,,,,,,
1335,,,,,,,CCANA EN RAMA PARA INFUSI,,,,,,,
1336,,,,,,,MISICO EN RAMA PARA INFUS,,,,,,,
1337,,,,,,,,,,,,,AJÍ PANCA EN POLVO A GRAN,
1338,,,,,,,AJI MOTO ENVASADO,,,,,,,
1339,,,,,,,AJINO MOTO ENVASADO,,,,,,,
1340,,,,,,,,,,,CAMOTE MORADO PARA PERRO,,,
1341,,,,,PESCADO OJO DE UVA,,,,,,,,,
1342,PAPA REBOSADA,,,,,,,,,,,,,
1343,ARVERJA VERDE CON CASCARA,,,,,,,,,,,,,
1344,,,,,,,,,,,CHICHARON DE POLLO CON PA,,,
1345,,,,,,,,,,,,,PAN CASERO,
1346,,,,,,,,,,,,,PAN CON CAMITE,
1347,,,,,,,,,,,Refresco Instantáneo,,,
1348,,,,,,,,,,,,,PANES SURTIDO,
1349,PAPA ANDINA,,,,,,,,,,,,,
1350,,,,,,,CULANTRO MOLIDOO A GRANEL,,,,,,,
1351,,,,,,,,,,,,,PAN ÁRABE,
1352,,,,,,,PALILLO AGRANEL MOLIDO,,,,,,,
1353,,,,,,,,HARINA DE CAÑIUHUACO,,,,,,
1354,PAPA VARIADA,,,,,,,,,,,,,
1355,,,,,,,,,,,,,PITY PAN,
1356,,,FRIJOL LANTREJAS,,,,,,,,,,,
1357,,,,,,,,,,,COLGAJO DE RESCPARA PERRO,,,
1358,,,,,,,SAZONADOR MOLIDO ENVASADO,,,,,,,
1359,,,,,,,,HARINA SIN PREPARA A GRAN,,,,,,
1360,,,FRIJOL SAN JACINTO,,,,,,,,,,,
1361,,,,,,,,,,,HUESO DE POLLO DE POLLERI,,,
1362,,,,,,,,,,,,,PAN DE CHANCACA,
1363,PAPA RELLENA PRECOCIDA,,,,,,,,,,,,,
1364,,,,,,,,HARINA DE MACA NEGRA,,,,,,
1365,,,,,,,,,,,,,PAN CON AJONJOLÍ,
1366,,,,,,,,,,,PILTRAFAS DE RES PARA PER,,,
1367,ESPÁRRAGOS VERDES,,,,,,,,,,,,,
1368,,,FRIJOL ROSIÑO,,,,,,,,,,,
1369,,,,,,,MANI MOLIDO,,,,,,,
1370,PAPA SUELA,,,,,,,,,,,,,
1371,,,FRIJOL BAYO PRECOCIDO,,,,,,,,,,,
1372,,,,,PESCADO FASACO SECO,,,,,,,,,
1373,,,,,,,,HARINA DE HABAS ENVASADA,,,,,,
1374,,,,,,,,,,,,,FRIJOL PANAMITO SECO,
1375,,,,,,,,,,,POLLO PARA PERRO,,,
1376,,,,,,,,,,,ÑUCTO PARA PERRO,,,
1377,PAPA ANDAHUAYLA,,,,,,,,,,,,,
1378,PAPA  CANCHAN,,,,,,,,,,,,,
1379,,,,,PESCADO TRUCHA,,,,,,,,,
1380,,,,,,,COLA DE CABELLO EN RAMA P,,,,,,,
1381,,,,,PESCADO CABRILLA FILETEAD,,,,,,,,,
1382,,,,,,,,,,,CARNE MOLIDA,,,
1383,,,,,PESCADO CUNCHI,,,,,,,,,
1384,,,,,,,,,,,,,PAN CULIZA,
1385,,,,,,,,,,,CARNE DE MONO,,,
1386,,,FRIJOL CHILENO SECO,,,,,,,,,,,
1387,,,,,,,CREMA DE AJI ENVASADO,,,,,,,
1388,,,,,,,RUDA EN RAMA PARA COMIDA,,,,,,,
1389,,,,,,,,,,,HUESO DE RES  PARA PERRO,,,
1390,,,,,,,,,,,MOLLEJAS PARA POLLO,,,
1391,ARVEJA VERDE CON CÁSCARA,,,,,,,,,,,,,
1392,,,,,,,ROMERO EN RAMA PARA INFUS,,,,,,,
1393,,,,,,,,,,,CECINA DE RES CHACTACA,,,
1394,,,,,,,HUAYHUA EN RAMA PARA INFU,,,,,,,
1395,,,,,,,,,,,PESCADO TRUCHA FRESCA,,,
1396,,,,,,,,,,,MENUDENCIA DE POLLO A LA,,,
1397,,,,,,,,,,,FREJOL DECPALO FRESCO,,,
1398,,,,,,,,MAIZ MARTAJADO A GRANEL,,,,,,
1399,,,,,,,,,,,REPOLLO PARA ENSALADA,,,
1400,,,,,,,,,,,ARROZ MOLIDO PARA PERRO,,,
1401,,,,,,,COMINO PIMIENTA MOLIDO  E,,,,,,,
1402,,,,,PESCADO MAURE,,,,,,,,,
1403,,,,,,,,,,,,,PAN MULTICERIAL,
1404,PAPA CARLA,,,,,,,,,,,,,
1405,,,,,,,,,,,JUANE PARA PERRO,,,
1406,,,,,,,,HARINA DE CAMOTE A GRANEL,,,,,,
1407,,,,,,,,,,,PESCADO POLLO,,,
1408,,,,,,,,,,,,,PAN MARRAQUETA,
1409,,,,,,,,,,,,,PAN JURKA,
1410,,,,,PESCADO BARBUDO,,,,,,,,,
1411,,,,,,,,,,,CROQUETAS PARA PERRO,,,
1412,,,,,,,,,,,,,PAN CORTADILLO,
1413,Salchipapa,,,,,,,,,,,,,
1414,,,,,,,GUISADOR ENTERO MOLIDO A,,,,,,,
1415,,,,,,,,,,,,,PAN COMUN,
1416,,,,,PESCADO CAMOTILLO,,,,,,,,,
1417,,,,,,,COMINO PIMIENTO MOLIDO EN,,,,,,,
1418,,,,,,,,,,,,,PAN DE AJONJOLI,
1419,PAPA IMILLA,,,,,,,,,,,,,
1420,,,,,,,,,,,ASERRIN DE CARNE PARA PER,,,
1421,,,,,,,,MAIZ AMARILLO MOTE,,,,,,
1422,,,,,,,,,,,PICAÑA DE RES,,,
1423,,,FRIJOL CABALLERO,,,,,,,,,,,
1424,,,,,,,,,,,,,PAN CON MANTEQUILLA,
1425,,,FRIJOL CHINO PRECOCIDO,,,,,,,,,,,
1426,,,,,,,,,,,SEBO DE VACA PARA PERRO,,,
1427,,,,,PESCADO CACHEMA,,,,,,,,,
1428,,,,,,,,,,,MILANESA DE POLLO ENVASAD,,,
1429,,,,,,,,,,,REFRESCO DE CEBADA,,,
1430,,,,,,,,,,,CABEZAS DE POLLO PARA  PE,,,
1431,,,,,,,,,,,PATITAS DE POLLO,,,
1432,,,,,,,,,,,,,PAN DE YEMA,
1433,,,,,,,,HARINA HABAS ENVASADO,,,,,,
1434,,,,,,,,,,,,,PANETON,
1435,,,,,PESCADO LENGUADO,,,,,,,,,
1436,,,,,,,HUACATAY EN RAMA,,,,,,,
1437,,,,,,,,MAIZ INFLADO ENVASADO,,,,,,
1438,,,,,,,,,,,,,PAN CACHANGA,
1439,,,,,,,,,,,Comida para perros,,,
1440,,,,,,,,,,,ARROZ CON POLLO CON ARVER,,,
1441,,,,,,,,MAIZ PARTIDO PARA AVES,,,,,,
1442,,,,,,,,,,,,,PAN MARAQUETA,
1443,,,,,,,,,,,MENUDENCIA DE POLLO COMID,,,
1444,,,,,PESCADO SHIRUY,,,,,,,,,
1445,PAPA CONPI,,,,,,,,,,,,,
1446,,,,,,,,,,,,,PAN SEMA,
1447,,,,,,,,,,,REFRESCO DE COCONA,,,
1448,,,,,PESCADO CHERELA,,,,,,,,,
1449,,,,,,,AJINOMOTO ENVASADO,,,,,,,
1450,,,FRIJOL BOCÓN,,,,,,,,,,,
1451,,,,,,,,,,,,,Pan Francés,
1452,,,,,,,HUAMANRIPA EN RAMA PARA I,,,,,,,
1453,,,,,,,,,,,,,MEZCLA PARA APANAR,
1454,,,,,,,,HARINA DE KIWICHA,,,,,,
1455,,,,,,,CULANTRO MOLIDO PARA A GR,,,,,,,
1456,,,,,PESCADO TILAPIA CONGELADO,,,,,,,,,
1457,,,,,,,,,,,CARNE DE RES PICADO,,,
1458,PAPA REBOZADAS,,,,,,,,,,,,,
1459,,,,,,,SAZONADOR TUCO MOLIDO EN,,,,,,,
1460,,,,,,,,MEZCLA HARINA DE MAIZ CON,,,,,,
1461,,,,,,,,,,,HIGADO DE POLLO PARA PERO,,,
1462,,,,,,,,,,,,,AJÍ PANCA MOLIDO A GRANEL,
1463,,,,,,,,,,,,,PAN SERRANITO,
1464,,,,,,,,,,,LECHE FRESCA ENVASADA BOL,,,
1465,,,,,,,,MAIZ MOLIDO PRRRO,,,,,,
1466,,,,,,,PAICO EN RAMA PARA INFUSI,,,,,,,
